,DATA_AS_AT,TRANSACTION_ID,EXPENDITURE,STATE,JSKR_LINKAGE_KEY,STREAM_PLACEMENT_DESC,EF_CATEGORY_DESCRIPTION,DERIVED_DATE_OF_SERVICE,ACTIVITY_TYPE_DESC,ACTIVITY_SUB_DESC,EDUCATION_LEVEL_DESC,GENDER,INDIGENOUS,HOMELESS,PWD,CALD,REFUGEE,EX_OFFENDER,AGE_GROUP,UE_GROUP,year,month,year_month,EDUCATION_ADJ,EF_CATEGORY_ADJ
664165,5/08/2018,1920442J,330.0,NSW,463839,Stream B,Targeted Pre-Employment Preparation,19/04/2017,Non-Accredited Education and Training (Vocational),Employability Skills,Non-trade vocational education,Male,1.0,1.0,,,,1.0,25 to 29 years,60+ Months,2017,4,Apr-17,Non-trade vocational education,Pre-Employ Prep
664233,5/08/2018,1664367J,79.9,NT ,463881,Stream B,Clothing and Presentation,3/03/2017,,,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,30 to 39 years,12 to 23 Months,2017,3,Mar-17,<Year 10,Clothing
664266,5/08/2018,2044770J,83.9,NSW,463910,Stream C,Clothing and Presentation,15/06/2017,,,Primary school or less than Year 10,Male,1.0,1.0,1.0,,,1.0,25 to 29 years,60+ Months,2017,6,Jun-17,<Year 10,Clothing
664269,5/08/2018,1548213J,770.0,NSW,463910,Stream C,Work Related Licencing,23/02/2017,,,Primary school or less than Year 10,Male,1.0,1.0,1.0,,,1.0,25 to 29 years,60+ Months,2017,2,Feb-17,<Year 10,Work Licensing
664443,5/08/2018,1737119J,88.0,NSW,464083,Stream B,Work Related Items,15/02/2017,,,Secondary schooling completed (Year 12/13),Male,1.0,1.0,1.0,,,1.0,30 to 39 years,24 to 59 Months,2017,2,Feb-17,Year 12/13,Work Items
664533,5/08/2018,2010869J,33.0,WA ,464176,Stream C,Job Seeker Transport,19/05/2017,,,Non-trade vocational education,Male,1.0,1.0,1.0,,,1.0,30 to 39 years,12 to 23 Months,2017,5,May-17,Non-trade vocational education,Transport
664534,5/08/2018,2004457J,150.0,WA ,464176,Stream C,Professional Services,2/06/2017,,,Non-trade vocational education,Male,1.0,1.0,1.0,,,1.0,30 to 39 years,12 to 23 Months,2017,6,Jun-17,Non-trade vocational education,Prof Service
664535,5/08/2018,2119356J,221.0,WA ,464176,Stream C,Clothing and Presentation,15/06/2017,,,Non-trade vocational education,Male,1.0,1.0,1.0,,,1.0,30 to 39 years,12 to 23 Months,2017,6,Jun-17,Non-trade vocational education,Clothing
666248,5/08/2018,1496813J,8.0,NSW,465598,Stream B,Work Related Items,4/01/2017,,,Secondary schooling completed (Year 12/13),Male,1.0,1.0,,,,1.0,30 to 39 years,Under 12 Months,2017,1,Jan-17,Year 12/13,Work Items
666249,5/08/2018,1496816J,49.5,NSW,465598,Stream B,Work Related Items,5/01/2017,,,Secondary schooling completed (Year 12/13),Male,1.0,1.0,,,,1.0,30 to 39 years,Under 12 Months,2017,1,Jan-17,Year 12/13,Work Items
666250,5/08/2018,1648359J,136.2,NSW,465598,Stream B,Clothing and Presentation,1/03/2017,,,Secondary schooling completed (Year 12/13),Male,1.0,1.0,,,,1.0,30 to 39 years,Under 12 Months,2017,3,Mar-17,Year 12/13,Clothing
666657,5/08/2018,2142773J,30.0,QLD,465889,Stream C,Job Seeker Transport,15/05/2017,,,Secondary schooling completed (Year 12/13),Male,1.0,1.0,1.0,,,1.0,40 to 49 years,60+ Months,2017,5,May-17,Year 12/13,Transport
666665,5/08/2018,1638559J,40.0,QLD,465889,Stream C,Job Seeker Transport,22/02/2017,,,Secondary schooling completed (Year 12/13),Male,1.0,1.0,1.0,,,1.0,40 to 49 years,60+ Months,2017,2,Feb-17,Year 12/13,Transport
667385,5/08/2018,2010106J,136.4,NSW,466435,Stream C,"Tools, Books, Equipment and Mobile Phones",28/05/2017,,,Non-trade vocational education,Male,1.0,1.0,,,,1.0,22 to 24 years,60+ Months,2017,5,May-17,Non-trade vocational education,Other Items
667386,5/08/2018,1717247J,25.0,NSW,466435,Stream C,Clothing and Presentation,9/02/2017,,,Non-trade vocational education,Male,1.0,1.0,,,,1.0,22 to 24 years,60+ Months,2017,2,Feb-17,Non-trade vocational education,Clothing
667387,5/08/2018,1755097J,236.96,NSW,466435,Stream C,Clothing and Presentation,28/03/2017,,,Non-trade vocational education,Male,1.0,1.0,,,,1.0,22 to 24 years,60+ Months,2017,3,Mar-17,Non-trade vocational education,Clothing
667388,5/08/2018,1590100J,550.0,NSW,466435,Stream C,Targeted Pre-Employment Preparation,10/02/2017,Non-Accredited Education and Training (Vocational),Pre-Employment Training,Non-trade vocational education,Male,1.0,1.0,,,,1.0,22 to 24 years,60+ Months,2017,2,Feb-17,Non-trade vocational education,Pre-Employ Prep
667389,5/08/2018,1717243J,79.9,NSW,466435,Stream C,Clothing and Presentation,9/02/2017,,,Non-trade vocational education,Male,1.0,1.0,,,,1.0,22 to 24 years,60+ Months,2017,2,Feb-17,Non-trade vocational education,Clothing
667390,5/08/2018,1817136J,44.0,NSW,466435,Stream C,"Food, Phone and Petrol Cards/Vouchers",28/03/2017,,,Non-trade vocational education,Male,1.0,1.0,,,,1.0,22 to 24 years,60+ Months,2017,3,Mar-17,Non-trade vocational education,Cash Cards/Vouchers
667873,5/08/2018,1959632J,60.0,QLD,466789,Stream C,Job Seeker Transport,20/03/2017,,,Non-trade vocational education,Male,1.0,1.0,,,,1.0,25 to 29 years,24 to 59 Months,2017,3,Mar-17,Non-trade vocational education,Transport
667874,5/08/2018,1849922J,67.35,QLD,466789,Stream C,Work Related Items,5/05/2017,,,Non-trade vocational education,Male,1.0,1.0,,,,1.0,25 to 29 years,24 to 59 Months,2017,5,May-17,Non-trade vocational education,Work Items
667875,5/08/2018,1913388J,100.0,QLD,466789,Stream C,Job Seeker Transport,11/04/2017,,,Non-trade vocational education,Male,1.0,1.0,,,,1.0,25 to 29 years,24 to 59 Months,2017,4,Apr-17,Non-trade vocational education,Transport
667877,5/08/2018,1548679J,77.72,QLD,466789,Stream C,Job Seeker Transport,8/02/2017,,,Non-trade vocational education,Male,1.0,1.0,,,,1.0,25 to 29 years,24 to 59 Months,2017,2,Feb-17,Non-trade vocational education,Transport
667878,5/08/2018,1648153J,112.97,QLD,466789,Stream C,Job Seeker Transport,7/03/2017,,,Non-trade vocational education,Male,1.0,1.0,,,,1.0,25 to 29 years,24 to 59 Months,2017,3,Mar-17,Non-trade vocational education,Transport
668176,5/08/2018,1664380J,211.2,NSW,467015,Stream C,Work Related Licencing,17/03/2017,,,Year 10/11,Male,1.0,1.0,1.0,,,1.0,25 to 29 years,60+ Months,2017,3,Mar-17,Year 10/11,Work Licensing
668444,5/08/2018,1717910J,22.0,NSW,467238,Stream C,Job Seeker Transport,23/03/2017,,,Year 10/11,Male,1.0,1.0,,,,1.0,25 to 29 years,60+ Months,2017,3,Mar-17,Year 10/11,Transport
668445,5/08/2018,1717980J,42.9,NSW,467238,Stream C,Clothing and Presentation,28/03/2017,,,Year 10/11,Male,1.0,1.0,,,,1.0,25 to 29 years,60+ Months,2017,3,Mar-17,Year 10/11,Clothing
668446,5/08/2018,2051083J,50.0,NSW,467238,Stream C,Job Seeker Transport,8/06/2017,,,Year 10/11,Male,1.0,1.0,,,,1.0,25 to 29 years,60+ Months,2017,6,Jun-17,Year 10/11,Transport
668447,5/08/2018,1864389J,33.0,NSW,467238,Stream C,Job Seeker Transport,4/05/2017,,,Year 10/11,Male,1.0,1.0,,,,1.0,25 to 29 years,60+ Months,2017,5,May-17,Year 10/11,Transport
668448,5/08/2018,1837756J,22.0,NSW,467238,Stream C,Job Seeker Transport,24/04/2017,,,Year 10/11,Male,1.0,1.0,,,,1.0,25 to 29 years,60+ Months,2017,4,Apr-17,Year 10/11,Transport
668449,5/08/2018,1939515J,55.0,NSW,467238,Stream C,Job Seeker Transport,16/05/2017,,,Year 10/11,Male,1.0,1.0,,,,1.0,25 to 29 years,60+ Months,2017,5,May-17,Year 10/11,Transport
668464,5/08/2018,1842333J,29.0,SA ,467267,Stream B,"Food, Phone and Petrol Cards/Vouchers",23/03/2017,,,Non-trade vocational education,Male,1.0,1.0,,,,1.0,22 to 24 years,Under 12 Months,2017,3,Mar-17,Non-trade vocational education,Cash Cards/Vouchers
668465,5/08/2018,1552218J,108.78,SA ,467267,Stream B,Professional Services,15/02/2017,,,Non-trade vocational education,Male,1.0,1.0,,,,1.0,22 to 24 years,Under 12 Months,2017,2,Feb-17,Non-trade vocational education,Prof Service
668466,5/08/2018,1705372J,92.4,SA ,467267,Stream B,Work Related Items,13/02/2017,,,Non-trade vocational education,Male,1.0,1.0,,,,1.0,22 to 24 years,Under 12 Months,2017,2,Feb-17,Non-trade vocational education,Work Items
668467,5/08/2018,1705722J,715.0,SA ,467267,Stream B,Accredited Training,23/03/2017,Accredited Education and Training (Vocational),Accredited Units,Non-trade vocational education,Male,1.0,1.0,,,,1.0,22 to 24 years,Under 12 Months,2017,3,Mar-17,Non-trade vocational education,Accredited Training
668482,5/08/2018,1558775J,53.9,QLD,467276,Stream C,Accredited Training,13/01/2017,Accredited Education and Training (Vocational),Accredited Units,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,Under 22 years,Under 12 Months,2017,1,Jan-17,<Year 10,Accredited Training
669346,5/08/2018,1410746J,81.07,QLD,468008,Stream B,Work Related Licencing,5/01/2017,,,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,25 to 29 years,Under 12 Months,2017,1,Jan-17,<Year 10,Work Licensing
672783,5/08/2018,1566301J,605.0,WA ,470650,Stream C,Accredited Training,25/01/2017,Accredited Education and Training (Vocational),Accredited Units,Non-trade vocational education,Male,1.0,1.0,,,,1.0,22 to 24 years,60+ Months,2017,1,Jan-17,Non-trade vocational education,Accredited Training
673019,5/08/2018,2056118J,68.9,NSW,470844,Stream B,Job Seeker Transport,20/06/2017,,,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,22 to 24 years,12 to 23 Months,2017,6,Jun-17,<Year 10,Transport
673204,5/08/2018,1936226J,550.0,NSW,470984,Stream C,Targeted Pre-Employment Preparation,23/05/2017,Non-Accredited Education and Training (Vocational),Pre-Employment Training,Year 10/11,Male,1.0,1.0,1.0,,,1.0,30 to 39 years,24 to 59 Months,2017,5,May-17,Year 10/11,Pre-Employ Prep
673535,5/08/2018,1466148J,42.9,QLD,471197,Stream B,Work Related Licencing,3/01/2017,,,Non-trade vocational education,Female,1.0,1.0,,,,1.0,30 to 39 years,12 to 23 Months,2017,1,Jan-17,Non-trade vocational education,Work Licensing
673536,5/08/2018,1968768J,88.4,QLD,471197,Stream B,Clothing and Presentation,26/04/2017,,,Non-trade vocational education,Female,1.0,1.0,,,,1.0,30 to 39 years,12 to 23 Months,2017,4,Apr-17,Non-trade vocational education,Clothing
674029,5/08/2018,1933004J,150.0,QLD,471531,Stream C,Professional Services,26/04/2017,,,Year 10/11,Male,1.0,1.0,1.0,,,1.0,Under 22 years,12 to 23 Months,2017,4,Apr-17,Year 10/11,Prof Service
674030,5/08/2018,1933151J,150.0,QLD,471531,Stream C,Professional Services,24/04/2017,,,Year 10/11,Male,1.0,1.0,1.0,,,1.0,Under 22 years,12 to 23 Months,2017,4,Apr-17,Year 10/11,Prof Service
674031,5/08/2018,1790308J,150.0,QLD,471531,Stream C,Professional Services,12/04/2017,,,Year 10/11,Male,1.0,1.0,1.0,,,1.0,Under 22 years,12 to 23 Months,2017,4,Apr-17,Year 10/11,Prof Service
674032,5/08/2018,1746587J,300.0,QLD,471531,Stream C,Professional Services,28/03/2017,,,Year 10/11,Male,1.0,1.0,1.0,,,1.0,Under 22 years,12 to 23 Months,2017,3,Mar-17,Year 10/11,Prof Service
674033,5/08/2018,1726823J,29.0,QLD,471531,Stream C,"Tools, Books, Equipment and Mobile Phones",8/03/2017,,,Year 10/11,Male,1.0,1.0,1.0,,,1.0,Under 22 years,12 to 23 Months,2017,3,Mar-17,Year 10/11,Other Items
677092,5/08/2018,1794965J,282.97,NT ,474029,Stream A,Job Seeker Transport,9/03/2017,,,Non-trade vocational education,Male,1.0,1.0,,,,1.0,22 to 24 years,Under 12 Months,2017,3,Mar-17,Non-trade vocational education,Transport
677093,5/08/2018,2036495J,780.0,QLD,474029,Stream C,Stream C only Assistance,8/05/2017,,,Non-trade vocational education,Male,1.0,1.0,,,,1.0,22 to 24 years,Under 12 Months,2017,5,May-17,Non-trade vocational education,Stream C Assist
677094,5/08/2018,2066004J,550.0,NT ,474029,Stream C,Targeted Pre-Employment Preparation,13/06/2017,Non-Accredited Education and Training (Vocational),Pre-Employment Training,Non-trade vocational education,Male,1.0,1.0,,,,1.0,22 to 24 years,Under 12 Months,2017,6,Jun-17,Non-trade vocational education,Pre-Employ Prep
677474,5/08/2018,1908242J,219.2,SA ,474394,Stream B,Clothing and Presentation,10/03/2017,,,Year 10/11,Male,1.0,1.0,,,,1.0,25 to 29 years,24 to 59 Months,2017,3,Mar-17,Year 10/11,Clothing
677475,5/08/2018,1699400J,30.0,SA ,474394,Stream B,Work Related Licencing,25/01/2017,,,Year 10/11,Male,1.0,1.0,,,,1.0,25 to 29 years,24 to 59 Months,2017,1,Jan-17,Year 10/11,Work Licensing
677476,5/08/2018,1908521J,34.14,SA ,474394,Stream B,Clothing and Presentation,10/03/2017,,,Year 10/11,Male,1.0,1.0,,,,1.0,25 to 29 years,24 to 59 Months,2017,3,Mar-17,Year 10/11,Clothing
677477,5/08/2018,2098008J,125.4,SA ,474394,Stream C,Professional Services,5/06/2017,,,Year 10/11,Male,1.0,1.0,1.0,,,1.0,25 to 29 years,24 to 59 Months,2017,6,Jun-17,Year 10/11,Prof Service
677600,5/08/2018,1918796J,21.67,QLD,474507,Stream B,"Food, Phone and Petrol Cards/Vouchers",17/05/2017,,,Year 10/11,Male,1.0,1.0,,,,1.0,30 to 39 years,12 to 23 Months,2017,5,May-17,Year 10/11,Cash Cards/Vouchers
677601,5/08/2018,1535472J,75.4,QLD,474507,Stream B,Clothing and Presentation,14/02/2017,,,Year 10/11,Male,1.0,1.0,,,,1.0,30 to 39 years,12 to 23 Months,2017,2,Feb-17,Year 10/11,Clothing
677602,5/08/2018,1532680J,9.9,QLD,474507,Stream B,Work Related Items,31/01/2017,,,Year 10/11,Male,1.0,1.0,,,,1.0,30 to 39 years,12 to 23 Months,2017,1,Jan-17,Year 10/11,Work Items
677603,5/08/2018,1522963J,38.5,QLD,474507,Stream B,Work Related Licencing,31/01/2017,,,Year 10/11,Male,1.0,1.0,,,,1.0,30 to 39 years,12 to 23 Months,2017,1,Jan-17,Year 10/11,Work Licensing
678621,5/08/2018,2004799J,125.4,QLD,475215,Stream C,Professional Services,5/06/2017,,,Year 10/11,Male,1.0,1.0,,,,1.0,40 to 49 years,24 to 59 Months,2017,6,Jun-17,Year 10/11,Prof Service
678622,5/08/2018,2061165J,125.4,QLD,475215,Stream C,Professional Services,20/06/2017,,,Year 10/11,Male,1.0,1.0,,,,1.0,40 to 49 years,24 to 59 Months,2017,6,Jun-17,Year 10/11,Prof Service
678623,5/08/2018,2006870J,550.0,QLD,475215,Stream C,Targeted Pre-Employment Preparation,6/06/2017,Non-Accredited Education and Training (Vocational),Pre-Employment Training,Year 10/11,Male,1.0,1.0,,,,1.0,40 to 49 years,24 to 59 Months,2017,6,Jun-17,Year 10/11,Pre-Employ Prep
679929,5/08/2018,2021784J,55.0,NT ,476370,Stream B,"Food, Phone and Petrol Cards/Vouchers",8/05/2017,,,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,25 to 29 years,Under 12 Months,2017,5,May-17,<Year 10,Cash Cards/Vouchers
679930,5/08/2018,1953529J,125.4,NT ,476370,Stream B,Professional Services,1/05/2017,,,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,25 to 29 years,Under 12 Months,2017,5,May-17,<Year 10,Prof Service
679931,5/08/2018,1968657J,83.6,NT ,476370,Stream B,Work Related Licencing,7/04/2017,,,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,25 to 29 years,Under 12 Months,2017,4,Apr-17,<Year 10,Work Licensing
679932,5/08/2018,1844073J,116.0,NT ,476370,Stream B,Clothing and Presentation,31/03/2017,,,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,25 to 29 years,Under 12 Months,2017,3,Mar-17,<Year 10,Clothing
679933,5/08/2018,1802608J,430.0,NT ,476370,Stream B,Work Related Licencing,6/04/2017,,,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,25 to 29 years,Under 12 Months,2017,4,Apr-17,<Year 10,Work Licensing
679934,5/08/2018,1757084J,109.0,NT ,476370,Stream B,"Tools, Books, Equipment and Mobile Phones",17/03/2017,,,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,25 to 29 years,Under 12 Months,2017,3,Mar-17,<Year 10,Other Items
679935,5/08/2018,1802607J,1400.0,NT ,476370,Stream B,Work Related Licencing,26/04/2017,,,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,25 to 29 years,Under 12 Months,2017,4,Apr-17,<Year 10,Work Licensing
681445,5/08/2018,1794005J,11.0,QLD,477453,Stream C,"Food, Phone and Petrol Cards/Vouchers",3/03/2017,,,Non-trade vocational education,Male,1.0,1.0,,,,1.0,40 to 49 years,12 to 23 Months,2017,3,Mar-17,Non-trade vocational education,Cash Cards/Vouchers
681446,5/08/2018,2121725J,27.5,QLD,477453,Stream C,"Food, Phone and Petrol Cards/Vouchers",26/06/2017,,,Non-trade vocational education,Male,1.0,1.0,,,,1.0,40 to 49 years,12 to 23 Months,2017,6,Jun-17,Non-trade vocational education,Cash Cards/Vouchers
681699,5/08/2018,1809891J,150.0,WA ,477656,Stream A,Clothing and Presentation,24/04/2017,,,Trades qualification,Male,1.0,1.0,,,,1.0,30 to 39 years,Under 12 Months,2017,4,Apr-17,Trade/TAFE,Clothing
681733,5/08/2018,1734896J,20.0,NSW,477680,Stream C,Job Seeker Transport,7/03/2017,,,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,22 to 24 years,Under 12 Months,2017,3,Mar-17,<Year 10,Transport
682171,5/08/2018,1977907J,330.0,TAS,478065,Stream B,Targeted Pre-Employment Preparation,31/05/2017,Non-Accredited Education and Training (Vocational),Pre-Employment Training,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,30 to 39 years,24 to 59 Months,2017,5,May-17,<Year 10,Pre-Employ Prep
682172,5/08/2018,1593274J,150.0,TAS,478065,Stream B,Professional Services,24/02/2017,,,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,30 to 39 years,24 to 59 Months,2017,2,Feb-17,<Year 10,Prof Service
682173,5/08/2018,1521071J,150.0,TAS,478065,Stream B,Professional Services,3/02/2017,,,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,30 to 39 years,24 to 59 Months,2017,2,Feb-17,<Year 10,Prof Service
682190,5/08/2018,1888228J,125.4,VIC,478083,Stream B,Professional Services,8/05/2017,,,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,30 to 39 years,24 to 59 Months,2017,5,May-17,<Year 10,Prof Service
682191,5/08/2018,1851224J,125.4,VIC,478083,Stream B,Professional Services,3/05/2017,,,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,30 to 39 years,24 to 59 Months,2017,5,May-17,<Year 10,Prof Service
683607,5/08/2018,1781323J,149.85,QLD,479243,Stream C,Clothing and Presentation,20/03/2017,,,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,22 to 24 years,60+ Months,2017,3,Mar-17,<Year 10,Clothing
683608,5/08/2018,1722001J,55.0,QLD,479243,Stream C,"Food, Phone and Petrol Cards/Vouchers",14/03/2017,,,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,22 to 24 years,60+ Months,2017,3,Mar-17,<Year 10,Cash Cards/Vouchers
683609,5/08/2018,1683129J,129.0,QLD,479243,Stream C,Professional Services,15/03/2017,,,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,22 to 24 years,60+ Months,2017,3,Mar-17,<Year 10,Prof Service
683610,5/08/2018,1682629J,300.0,QLD,479243,Stream C,Professional Services,20/03/2017,,,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,22 to 24 years,60+ Months,2017,3,Mar-17,<Year 10,Prof Service
683611,5/08/2018,1683141J,129.0,QLD,479243,Stream C,Professional Services,16/03/2017,,,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,22 to 24 years,60+ Months,2017,3,Mar-17,<Year 10,Prof Service
683612,5/08/2018,1683135J,129.0,QLD,479243,Stream C,Professional Services,14/03/2017,,,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,22 to 24 years,60+ Months,2017,3,Mar-17,<Year 10,Prof Service
683613,5/08/2018,1818020J,183.0,QLD,479243,Stream C,Job Seeker Transport,11/04/2017,,,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,22 to 24 years,60+ Months,2017,4,Apr-17,<Year 10,Transport
683614,5/08/2018,1777918J,123.73,QLD,479243,Stream C,"Tools, Books, Equipment and Mobile Phones",13/04/2017,,,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,22 to 24 years,60+ Months,2017,4,Apr-17,<Year 10,Other Items
683615,5/08/2018,1811998J,77.0,QLD,479243,Stream C,"Food, Phone and Petrol Cards/Vouchers",11/04/2017,,,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,22 to 24 years,60+ Months,2017,4,Apr-17,<Year 10,Cash Cards/Vouchers
683616,5/08/2018,1746543J,150.0,QLD,479243,Stream C,Professional Services,28/03/2017,,,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,22 to 24 years,60+ Months,2017,3,Mar-17,<Year 10,Prof Service
683617,5/08/2018,2044522J,528.0,QLD,479243,Stream C,Accredited Training,23/01/2017,Accredited Education and Training (Vocational),Certificate 3,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,22 to 24 years,60+ Months,2017,1,Jan-17,<Year 10,Accredited Training
684709,5/08/2018,1562489J,468.0,NSW,480017,Stream B,Job Seeker Transport,17/02/2017,,,Non-trade vocational education,Male,1.0,1.0,,,,1.0,60+ years,Under 12 Months,2017,2,Feb-17,Non-trade vocational education,Transport
684830,5/08/2018,1717237J,42.9,NSW,480118,Stream B,Work Related Licencing,8/02/2017,,,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,Under 22 years,24 to 59 Months,2017,2,Feb-17,<Year 10,Work Licensing
684831,5/08/2018,1548586J,45.0,NSW,480118,Stream B,Clothing and Presentation,13/02/2017,,,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,Under 22 years,24 to 59 Months,2017,2,Feb-17,<Year 10,Clothing
685309,5/08/2018,1961378J,550.0,QLD,480536,Stream C,Targeted Pre-Employment Preparation,30/05/2017,Non-Accredited Education and Training (Vocational),Pre-Employment Training,Non-trade vocational education,Female,1.0,1.0,1.0,,,1.0,30 to 39 years,60+ Months,2017,5,May-17,Non-trade vocational education,Pre-Employ Prep
685310,5/08/2018,1845128J,528.0,QLD,480536,Stream C,Accredited Training,22/03/2017,Accredited Education and Training (Vocational),Certificate 3,Non-trade vocational education,Female,1.0,1.0,1.0,,,1.0,30 to 39 years,60+ Months,2017,3,Mar-17,Non-trade vocational education,Accredited Training
685311,5/08/2018,1600989J,24.2,QLD,480536,Stream C,Work Related Items,17/02/2017,,,Non-trade vocational education,Female,1.0,1.0,1.0,,,1.0,30 to 39 years,60+ Months,2017,2,Feb-17,Non-trade vocational education,Work Items
685937,5/08/2018,1922955J,27.5,QLD,481022,Stream A,"Food, Phone and Petrol Cards/Vouchers",4/05/2017,,,Non-trade vocational education,Male,1.0,1.0,,,,1.0,25 to 29 years,Under 12 Months,2017,5,May-17,Non-trade vocational education,Cash Cards/Vouchers
686418,5/08/2018,1845992J,49.5,NSW,481344,Stream C,Work Related Items,10/02/2017,,,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,30 to 39 years,12 to 23 Months,2017,2,Feb-17,<Year 10,Work Items
686419,5/08/2018,1845970J,8.0,NSW,481344,Stream C,Work Related Items,10/02/2017,,,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,30 to 39 years,12 to 23 Months,2017,2,Feb-17,<Year 10,Work Items
686765,5/08/2018,1609052J,79.95,VIC,481583,Stream C,Clothing and Presentation,28/02/2017,,,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,30 to 39 years,60+ Months,2017,2,Feb-17,<Year 10,Clothing
686766,5/08/2018,1661661J,2493.34,VIC,481583,Stream C,Accredited Training,6/03/2017,Accredited Education and Training (Vocational),Accredited Skill Set,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,30 to 39 years,60+ Months,2017,3,Mar-17,<Year 10,Accredited Training
686767,5/08/2018,1635031J,1728.58,VIC,481583,Stream C,Accredited Training,27/02/2017,Accredited Education and Training (Vocational),Accredited Skill Set,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,30 to 39 years,60+ Months,2017,2,Feb-17,<Year 10,Accredited Training
686768,5/08/2018,1587849J,59.0,VIC,481583,Stream C,"Tools, Books, Equipment and Mobile Phones",16/02/2017,,,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,30 to 39 years,60+ Months,2017,2,Feb-17,<Year 10,Other Items
686769,5/08/2018,1776230J,25.02,VIC,481583,Stream C,"Food, Phone and Petrol Cards/Vouchers",1/03/2017,,,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,30 to 39 years,60+ Months,2017,3,Mar-17,<Year 10,Cash Cards/Vouchers
688026,5/08/2018,1449051J,189.9,NSW,482519,Stream B,Clothing and Presentation,17/01/2017,,,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,40 to 49 years,24 to 59 Months,2017,1,Jan-17,<Year 10,Clothing
688027,5/08/2018,1849413J,39.0,NSW,482519,Stream B,"Food, Phone and Petrol Cards/Vouchers",7/04/2017,,,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,40 to 49 years,24 to 59 Months,2017,4,Apr-17,<Year 10,Cash Cards/Vouchers
688333,5/08/2018,2177582J,366.8,NSW,482667,Stream B,Clothing and Presentation,30/06/2017,,,Year 10/11,Male,1.0,1.0,,,,1.0,30 to 39 years,Under 12 Months,2017,6,Jun-17,Year 10/11,Clothing
690044,5/08/2018,2031874J,330.0,NSW,483977,Stream C,Targeted Pre-Employment Preparation,5/06/2017,Non-Accredited Education and Training (Vocational),Pre-Employment Training,Year 10/11,Male,1.0,1.0,,,,1.0,25 to 29 years,60+ Months,2017,6,Jun-17,Year 10/11,Pre-Employ Prep
690241,5/08/2018,1481349J,23.21,QLD,484142,Stream C,"Food, Phone and Petrol Cards/Vouchers",30/01/2017,,,Non-trade vocational education,Male,1.0,1.0,1.0,,,1.0,30 to 39 years,24 to 59 Months,2017,1,Jan-17,Non-trade vocational education,Cash Cards/Vouchers
690242,5/08/2018,1887654J,528.0,QLD,484142,Stream C,Accredited Training,29/03/2017,Accredited Education and Training (Vocational),Certificate 3,Non-trade vocational education,Male,1.0,1.0,1.0,,,1.0,30 to 39 years,24 to 59 Months,2017,3,Mar-17,Non-trade vocational education,Accredited Training
690834,5/08/2018,1463466J,60.5,QLD,484751,Stream B,Work Related Licencing,19/01/2017,,,Non-trade vocational education,Male,1.0,1.0,,,,1.0,25 to 29 years,24 to 59 Months,2017,1,Jan-17,Non-trade vocational education,Work Licensing
691528,5/08/2018,2120060J,89.0,VIC,485327,Stream B,Medical Expenses,27/03/2017,,,Secondary schooling completed (Year 12/13),Male,1.0,1.0,,,,1.0,Under 22 years,24 to 59 Months,2017,3,Mar-17,Year 12/13,Medical Expenses
